Backend terminated because frontend closed.
FLEXIERP backend terminated because frontend closed.
run_service terminated because frontend closed.
[2025-10-27 14:17:22] Spawned FLEXIERP.exe (PID: 1288)
[2025-10-27 14:17:26] Spawned FLEXIERP.exe (PID: 2604)
[2025-10-27 14:17:26] Spawned run_service.exe (PID: 10216)
[2025-10-27 14:17:29] Spawned FLEXIERP.exe (PID: 2376)
[2025-10-27 14:17:29] Spawned run_service.exe (PID: 9672)
[2025-10-27 14:17:32] Spawned FLEXIERP.exe (PID: 16688)
[2025-10-27 14:17:32] Spawned run_service.exe (PID: 15856)
[2025-10-27 14:17:35] Spawned FLEXIERP.exe (PID: 12848)
[2025-10-27 14:17:35] Spawned run_service.exe (PID: 20768)
[2025-10-27 14:17:38] Spawned FLEXIERP.exe (PID: 16024)
[2025-10-27 14:17:38] Spawned run_service.exe (PID: 20732)
[2025-10-27 14:17:41] Spawned FLEXIERP.exe (PID: 2528)
[2025-10-27 14:17:41] Spawned run_service.exe (PID: 13228)
[2025-10-27 14:17:44] Spawned FLEXIERP.exe (PID: 1296)
[2025-10-27 14:17:44] Spawned run_service.exe (PID: 19688)
[2025-10-27 14:17:47] Spawned FLEXIERP.exe (PID: 7152)
[2025-10-27 14:17:47] Spawned run_service.exe (PID: 2164)
[2025-10-27 14:17:50] Spawned FLEXIERP.exe (PID: 16624)
[2025-10-27 14:17:50] Spawned run_service.exe (PID: 13784)
[2025-10-27 14:17:53] Spawned FLEXIERP.exe (PID: 15036)
[2025-10-27 14:17:53] Spawned run_service.exe (PID: 10152)
[2025-10-27 14:17:56] Spawned FLEXIERP.exe (PID: 19548)
[2025-10-27 14:17:56] Spawned run_service.exe (PID: 19708)
[2025-10-27 14:17:59] Spawned FLEXIERP.exe (PID: 2176)
[2025-10-27 14:17:59] Spawned run_service.exe (PID: 14904)
[2025-10-27 14:18:02] Spawned FLEXIERP.exe (PID: 13544)
[2025-10-27 14:18:02] Spawned run_service.exe (PID: 1984)
[2025-10-27 14:18:05] Spawned FLEXIERP.exe (PID: 17128)
[2025-10-27 14:18:06] Spawned run_service.exe (PID: 22484)
[2025-10-27 14:18:09] Spawned FLEXIERP.exe (PID: 15960)
[2025-10-27 14:18:09] Spawned run_service.exe (PID: 14348)
[2025-10-27 14:18:12] Spawned FLEXIERP.exe (PID: 2884)
[2025-10-27 14:18:12] Spawned run_service.exe (PID: 4360)
[2025-10-27 14:18:15] Spawned FLEXIERP.exe (PID: 14048)
[2025-10-27 14:18:15] Spawned run_service.exe (PID: 22060)
[2025-10-27 14:18:19] Spawned FLEXIERP.exe (PID: 17916)
[2025-10-27 14:18:19] Spawned run_service.exe (PID: 10388)
[2025-10-27 14:18:27] Spawned FLEXIERP.exe (PID: 19424)
[2025-10-27 14:18:27] Spawned run_service.exe (PID: 11752)
[2025-10-27 14:18:32] Spawned FLEXIERP.exe (PID: 11184)
[2025-10-27 14:18:32] Spawned run_service.exe (PID: 21516)
[2025-10-27 14:18:38] Spawned FLEXIERP.exe (PID: 19720)
[2025-10-27 14:18:39] Spawned run_service.exe (PID: 9588)
[2025-10-27 14:18:42] Spawned FLEXIERP.exe (PID: 7304)
[2025-10-27 14:18:42] Spawned run_service.exe (PID: 13368)
[2025-10-27 14:18:46] Spawned FLEXIERP.exe (PID: 21116)
[2025-10-27 14:18:46] Spawned run_service.exe (PID: 11272)
[2025-10-27 14:18:49] Spawned FLEXIERP.exe (PID: 8320)
[2025-10-27 14:18:49] Spawned run_service.exe (PID: 15052)
[2025-10-27 14:18:53] Spawned FLEXIERP.exe (PID: 18764)
[2025-10-27 14:18:53] Spawned run_service.exe (PID: 17420)
[2025-10-27 14:18:57] Spawned FLEXIERP.exe (PID: 21960)
[2025-10-27 14:18:57] Spawned run_service.exe (PID: 5588)
[2025-10-27 14:19:00] Spawned FLEXIERP.exe (PID: 8600)
[2025-10-27 14:19:00] Spawned run_service.exe (PID: 20132)
[2025-10-27 14:19:03] Spawned FLEXIERP.exe (PID: 11100)
[2025-10-27 14:19:03] Spawned run_service.exe (PID: 23212)
[2025-10-27 14:19:07] Spawned FLEXIERP.exe (PID: 20168)
[2025-10-27 14:19:07] Spawned run_service.exe (PID: 17584)
[2025-10-27 14:19:10] Spawned FLEXIERP.exe (PID: 19476)
[2025-10-27 14:19:10] Spawned run_service.exe (PID: 14708)
[2025-10-27 14:19:13] Spawned FLEXIERP.exe (PID: 4552)
[2025-10-27 14:19:13] Spawned run_service.exe (PID: 16144)
[2025-10-27 14:19:16] Spawned FLEXIERP.exe (PID: 9500)
[2025-10-27 14:19:17] Spawned run_service.exe (PID: 9944)
[2025-10-27 14:19:20] Spawned FLEXIERP.exe (PID: 19200)
[2025-10-27 14:19:20] Spawned run_service.exe (PID: 4832)
[2025-10-27 14:19:23] Spawned FLEXIERP.exe (PID: 21124)
[2025-10-27 14:19:24] Spawned run_service.exe (PID: 20024)
[2025-10-27 14:19:28] Spawned FLEXIERP.exe (PID: 8800)
[2025-10-27 14:19:28] Spawned run_service.exe (PID: 9752)
[2025-10-27 14:19:28] FLEXIERP backend terminated cleanly.
[2025-10-27 14:19:32] Spawned FLEXIERP.exe (PID: 15712)
[2025-10-27 14:19:32] Spawned run_service.exe (PID: 20828)
[2025-10-27 14:19:36] Spawned FLEXIERP.exe (PID: 4816)
[2025-10-27 14:19:36] Spawned run_service.exe (PID: 4844)
[2025-10-27 14:19:40] Spawned FLEXIERP.exe (PID: 20368)
[2025-10-27 14:19:40] Spawned run_service.exe (PID: 20840)
[2025-10-27 14:21:42] Spawned FLEXIERP.exe (PID: 14652)
[2025-10-27 14:21:43] Spawned run_service.exe (PID: 23824)
[2025-10-27 14:21:46] Spawned FLEXIERP.exe (PID: 15308)
[2025-10-27 14:21:46] Spawned run_service.exe (PID: 5444)
[2025-10-27 14:21:49] Spawned FLEXIERP.exe (PID: 9656)
[2025-10-27 14:21:49] Spawned run_service.exe (PID: 19964)
[2025-10-27 14:21:52] Spawned FLEXIERP.exe (PID: 6736)
[2025-10-27 14:21:52] Spawned run_service.exe (PID: 6752)
[2025-10-27 14:21:55] Spawned FLEXIERP.exe (PID: 22044)
[2025-10-27 14:21:55] Spawned run_service.exe (PID: 2616)
[2025-10-27 18:58:17] Spawned FLEXIERP.exe (PID: 16544)
[2025-10-27 18:58:17] Spawned run_service.exe (PID: 17424)
[2025-10-27 18:58:20] Spawned FLEXIERP.exe (PID: 11300)
[2025-10-27 18:58:20] Spawned run_service.exe (PID: 10652)
[2025-10-27 18:58:23] Spawned FLEXIERP.exe (PID: 15880)
[2025-10-27 18:58:23] Spawned run_service.exe (PID: 8152)
[2025-10-27 18:58:26] Spawned FLEXIERP.exe (PID: 22156)
[2025-10-27 18:58:26] Spawned run_service.exe (PID: 25464)
[2025-10-27 18:58:29] Spawned FLEXIERP.exe (PID: 17348)
[2025-10-27 18:58:29] Spawned run_service.exe (PID: 6388)
[2025-10-27 18:58:32] Spawned FLEXIERP.exe (PID: 6688)
[2025-10-27 18:58:33] Spawned run_service.exe (PID: 14520)
[2025-10-27 18:58:36] Spawned FLEXIERP.exe (PID: 11652)
[2025-10-27 18:58:36] Spawned run_service.exe (PID: 3132)
[2025-10-27 18:58:39] Spawned FLEXIERP.exe (PID: 23060)
[2025-10-27 18:58:39] Spawned run_service.exe (PID: 14400)
[2025-10-27 18:58:42] Spawned FLEXIERP.exe (PID: 15216)
[2025-10-27 18:58:42] Spawned run_service.exe (PID: 23640)
[2025-10-27 18:58:46] Spawned FLEXIERP.exe (PID: 10776)
[2025-10-27 18:58:47] Spawned run_service.exe (PID: 17136)
[2025-10-27 18:58:50] Spawned FLEXIERP.exe (PID: 16912)
[2025-10-27 18:58:50] Spawned run_service.exe (PID: 10360)
[2025-10-27 18:58:53] Spawned FLEXIERP.exe (PID: 23756)
[2025-10-27 18:58:53] Spawned run_service.exe (PID: 18524)
[2025-10-27 18:58:57] Spawned FLEXIERP.exe (PID: 21140)
[2025-10-27 18:58:57] Spawned run_service.exe (PID: 14112)
[2025-10-27 18:59:00] Spawned FLEXIERP.exe (PID: 7912)
[2025-10-27 18:59:00] Spawned run_service.exe (PID: 24640)
[2025-10-27 18:59:04] Spawned FLEXIERP.exe (PID: 5844)
[2025-10-27 18:59:04] Spawned run_service.exe (PID: 18144)
[2025-10-27 18:59:07] Spawned FLEXIERP.exe (PID: 21208)
[2025-10-27 18:59:07] Spawned run_service.exe (PID: 10724)
[2025-10-27 18:59:10] Spawned FLEXIERP.exe (PID: 9000)
[2025-10-27 18:59:10] Spawned run_service.exe (PID: 4732)
[2025-10-27 18:59:13] Spawned FLEXIERP.exe (PID: 19420)
[2025-10-27 18:59:13] Spawned run_service.exe (PID: 20108)
[2025-10-27 18:59:16] Spawned FLEXIERP.exe (PID: 19956)
[2025-10-27 18:59:16] Spawned run_service.exe (PID: 23288)
[2025-10-27 18:59:19] Spawned FLEXIERP.exe (PID: 19496)
[2025-10-27 18:59:19] Spawned run_service.exe (PID: 24796)
[2025-10-27 18:59:22] Spawned FLEXIERP.exe (PID: 20216)
[2025-10-27 18:59:22] Spawned run_service.exe (PID: 22408)
[2025-10-27 18:59:25] Spawned FLEXIERP.exe (PID: 22520)
[2025-10-27 18:59:25] Spawned run_service.exe (PID: 6092)
[2025-10-27 18:59:27] Spawned FLEXIERP.exe (PID: 15740)
[2025-10-27 18:59:27] Spawned run_service.exe (PID: 15608)
[2025-10-27 18:59:30] Spawned FLEXIERP.exe (PID: 22640)
[2025-10-27 18:59:30] Spawned run_service.exe (PID: 24816)
[2025-10-27 18:59:33] Spawned FLEXIERP.exe (PID: 8120)
[2025-10-27 18:59:33] Spawned run_service.exe (PID: 22212)
[2025-10-27 18:59:36] Spawned FLEXIERP.exe (PID: 25028)
[2025-10-27 18:59:36] Spawned run_service.exe (PID: 23300)
[2025-10-27 19:04:45] Spawned FLEXIERP.exe (PID: 12504)
[2025-10-27 19:04:45] Spawned run_service.exe (PID: 22632)
[2025-10-27 19:04:49] Spawned FLEXIERP.exe (PID: 12952)
[2025-10-27 19:04:49] Spawned run_service.exe (PID: 24244)
[2025-10-27 19:04:52] Spawned FLEXIERP.exe (PID: 22736)
[2025-10-27 19:04:52] Spawned run_service.exe (PID: 20784)
[2025-10-27 19:04:55] Spawned FLEXIERP.exe (PID: 8904)
[2025-10-27 19:04:55] Spawned run_service.exe (PID: 24428)
[2025-10-27 19:04:58] Spawned FLEXIERP.exe (PID: 4708)
[2025-10-27 19:04:58] Spawned run_service.exe (PID: 19764)
[2025-10-27 19:05:01] Spawned FLEXIERP.exe (PID: 8560)
[2025-10-27 19:05:01] Spawned run_service.exe (PID: 22428)
[2025-10-27 19:05:03] Spawned FLEXIERP.exe (PID: 23884)
[2025-10-27 19:05:04] Spawned run_service.exe (PID: 11284)
[2025-10-27 19:05:06] Spawned FLEXIERP.exe (PID: 6672)
[2025-10-27 19:05:07] Spawned run_service.exe (PID: 11448)
[2025-10-27 19:05:09] Spawned FLEXIERP.exe (PID: 21604)
[2025-10-27 19:05:10] Spawned run_service.exe (PID: 16552)
[2025-10-27 19:05:12] Spawned FLEXIERP.exe (PID: 6936)
[2025-10-27 19:05:12] Spawned run_service.exe (PID: 13424)
[2025-10-27 19:05:15] Spawned FLEXIERP.exe (PID: 15080)
[2025-10-27 19:05:15] Spawned run_service.exe (PID: 23876)
[2025-10-27 19:05:18] Spawned FLEXIERP.exe (PID: 24948)
[2025-10-27 19:05:18] Spawned run_service.exe (PID: 3972)
[2025-10-27 19:05:21] Spawned FLEXIERP.exe (PID: 13860)
[2025-10-27 19:05:21] Spawned run_service.exe (PID: 12252)
[2025-10-27 19:05:24] Spawned FLEXIERP.exe (PID: 7464)
[2025-10-27 19:05:24] Spawned run_service.exe (PID: 9720)
[2025-10-27 19:05:27] Spawned FLEXIERP.exe (PID: 4428)
[2025-10-27 19:05:27] Spawned run_service.exe (PID: 22776)
[2025-10-27 19:05:30] Spawned FLEXIERP.exe (PID: 11812)
[2025-10-27 19:05:30] Spawned run_service.exe (PID: 14900)
[2025-10-27 19:05:33] Spawned FLEXIERP.exe (PID: 22048)
[2025-10-27 19:05:33] Spawned run_service.exe (PID: 21536)
[2025-10-27 19:05:36] Spawned FLEXIERP.exe (PID: 15320)
[2025-10-27 19:05:36] Spawned run_service.exe (PID: 13468)
[2025-10-27 19:05:39] Spawned FLEXIERP.exe (PID: 22420)
[2025-10-27 19:05:39] Spawned run_service.exe (PID: 25356)
[2025-10-27 19:05:42] Spawned FLEXIERP.exe (PID: 19408)
[2025-10-27 19:05:42] Spawned run_service.exe (PID: 6452)
[2025-10-27 19:05:45] Spawned FLEXIERP.exe (PID: 12304)
[2025-10-27 19:05:45] Spawned run_service.exe (PID: 2120)
[2025-10-27 19:05:48] Spawned FLEXIERP.exe (PID: 10488)
[2025-10-27 19:05:48] Spawned run_service.exe (PID: 768)
[2025-10-27 19:05:50] Spawned FLEXIERP.exe (PID: 12004)
[2025-10-27 19:05:51] Spawned run_service.exe (PID: 23448)
[2025-10-27 19:05:53] Spawned FLEXIERP.exe (PID: 19672)
[2025-10-27 19:05:53] Spawned run_service.exe (PID: 1644)
[2025-10-27 19:05:56] Spawned FLEXIERP.exe (PID: 21060)
[2025-10-27 19:05:56] Spawned run_service.exe (PID: 24812)
[2025-10-27 19:05:59] Spawned FLEXIERP.exe (PID: 4540)
[2025-10-27 19:05:59] Spawned run_service.exe (PID: 10856)
[2025-10-27 19:06:02] Spawned FLEXIERP.exe (PID: 20084)
[2025-10-27 19:06:02] Spawned run_service.exe (PID: 8024)
[2025-10-27 19:06:05] Spawned FLEXIERP.exe (PID: 19452)
[2025-10-27 19:06:05] Spawned run_service.exe (PID: 13956)
[2025-10-27 19:06:08] Spawned FLEXIERP.exe (PID: 5080)
[2025-10-27 19:06:08] Spawned run_service.exe (PID: 16824)
[2025-10-27 19:06:11] Spawned FLEXIERP.exe (PID: 21576)
[2025-10-27 19:06:11] Spawned run_service.exe (PID: 20736)
[2025-10-27 19:06:14] Spawned FLEXIERP.exe (PID: 21100)
[2025-10-27 19:06:14] Spawned run_service.exe (PID: 21888)
[2025-10-27 19:15:42] Spawned FLEXIERP.exe (PID: 18832)
[2025-10-27 19:15:43] Spawned run_service.exe (PID: 11436)
[2025-10-27 19:15:48] Spawned FLEXIERP.exe (PID: 17044)
[2025-10-27 19:15:48] Spawned run_service.exe (PID: 21620)
[2025-10-27 19:15:52] Spawned FLEXIERP.exe (PID: 17772)
[2025-10-27 19:15:52] Spawned run_service.exe (PID: 23388)
[2025-10-27 19:15:56] Spawned FLEXIERP.exe (PID: 24540)
[2025-10-27 19:15:56] Spawned run_service.exe (PID: 25280)
[2025-10-27 19:16:00] Spawned FLEXIERP.exe (PID: 15016)
[2025-10-27 19:16:00] Spawned run_service.exe (PID: 24808)
[2025-10-27 19:16:00] FLEXIERP backend terminated cleanly.
[2025-10-27 19:16:00] run_service terminated cleanly.
